Symbol;Side;Price;Share;GrossPL;State;Gateway;Time;GatewayFee;Destination;RegFee;Date;ClearingFee;ActivityFee
HSY.NY;ShortSell;111.92;100;0.00;Filled;EDGX;14:46:21.750;0.29;ROUX;0.24399;20160630;0.0169;0.0138
MA.NY;Buy;89.01;100;-4.00;Filled;EDGX;14:44:39.271;0.30;ROUX;0.00;20160630;0.0169;0.00
MA.NY;ShortSell;88.97;99;0.00;Filled;EDGX;14:44:28.094;0.2871;ROUX;0.19202;20160630;0.01673;0.01366
MA.NY;ShortSell;88.97;1;0.00;Partially Filled;EDGX;14:44:28.094;0.00045;ROUX;0.00194;20160630;0.00017;0.00014
STRZA.NQ;Buy;30.23;100;-5.00;Filled;EDGX;14:42:44.757;0.29;ROUX;0.00;20160630;0.0169;0.00
STRZA.NQ;ShortSell;30.18;100;0.00;Filled;EDGA;14:41:38.823;0.25;ROUT;0.06579;20160630;0.0169;0.0138
V.NY;Buy;74.20;5;-0.125;Filled;EDGA;14:34:55.255;-0.001;ROUT;0.00;20160630;0.00085;0.00
V.NY;Buy;74.20;95;-2.375;Partially Filled;EDGA;14:34:55.255;-0.019;ROUT;0.00;20160630;0.01606;0.00
V.NY;ShortSell;74.175;100;0.00;Filled;EDGX;14:34:49.431;0.29;ROUX;0.1617;20160630;0.0169;0.0138
TSCO.NQ;Buy;91.51;50;-3.00;Filled;EDGX;11:52:44.338;0.15;ROUX;0.00;20160630;0.00845;0.00
TSCO.NQ;Buy;91.51;50;-3.00;Partially Filled;EDGX;11:52:44.338;0.15;ROUX;0.00;20160630;0.00845;0.00
TSCO.NQ;ShortSell;91.45;100;0.00;Filled;EDGA;11:52:15.942;0.25;ROUT;0.19936;20160630;0.0169;0.0138
V.NY;Buy;74.93;100;6.00;Filled;EDGX;11:51:26.921;0.29;ROUX;0.00;20160630;0.0169;0.00
MBLY.NY;Sell;47.31;90;-9.90;Filled;EDGX;11:50:10.712;0.261;ROUX;0.09282;20160630;0.01521;0.01242
MBLY.NY;Sell;47.33;10;-0.90;Partially Filled;EDGX;11:50:10.712;0.03;ROUX;0.01032;20160630;0.00169;0.00138
MBLY.NY;Buy;47.42;100;0.00;Filled;EDGX;11:49:34.708;0.29;ROUX;0.00;20160630;0.0169;0.00
V.NY;ShortSell;74.99;100;0.00;Filled;EDGA;11:47:51.405;0.25;ROUT;0.16348;20160630;0.0169;0.0138
MBLY.NY;Sell;47.39;100;-1.00;Filled;EDGX;11:46:18.603;0.29;ROUX;0.10331;20160630;0.0169;0.0138
MBLY.NY;Buy;47.40;100;0.00;Filled;EDGX;11:46:16.002;0.30;ROUX;0.00;20160630;0.0169;0.00
V.NY;Buy;75.18;100;17.00;Filled;EDGX;11:41:38.423;0.045;ROUX;0.00;20160630;0.0169;0.00
V.NY;ShortSell;75.35;100;0.00;Filled;EDGA;11:37:15.606;-0.02;ROUT;0.16426;20160630;0.0169;0.0138
MBLY.NY;Sell;47.04;100;-4.00;Filled;EDGX;11:35:20.302;0.30;ROUX;0.10255;20160630;0.0169;0.0138
MBLY.NY;Buy;47.08;100;0.00;Filled;NSDQ;11:34:55.000;0.30;INET;0.00;20160630;0.0169;0.00
HSY.NY;Buy;111.99;100;0.00;Filled;EDGX;11:34:53.371;0.29;ROUX;0.00;20160630;0.0169;0.00
HSY.NY;ShortSell;111.99;100;0.00;Filled;EDGX;11:34:18.106;0.30;ROUX;0.24414;20160630;0.0169;0.0138
LGF.NY;Buy;21.73;100;-1.99;Filled;EDGA;11:14:45.253;-0.02;ROUT;0.00;20160630;0.0169;0.00
